rehearse	リハーサルをする、暗唱（復唱）する
minuteman	"<img src=""paste-74786885325c4ed572f4be1780beaeab68684220.jpg"">"
disband	（組織や軍隊などを）解散する
hallmark	"特徴、品質保証、品質を保証する<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/a+work"">a work</a>&nbsp;<a href=""https://ejje.weblio.jp/content/bearing"">bearing</a>&nbsp;the&nbsp;hallmark&nbsp;<a href=""https://ejje.weblio.jp/content/of"">of</a>&nbsp;(a)&nbsp;<a href=""https://ejje.weblio.jp/content/genius"">genius</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%A4%A9%E6%89%8D"">天才</a><a href=""https://ejje.weblio.jp/content/%E3%82%92%E8%A8%BC%E6%98%8E%E3%81%99%E3%82%8B"">を証明する</a><a href=""https://ejje.weblio.jp/content/%E4%BD%9C%E5%93%81"">作品</a>.</span><br></div>"
womb	子宮
coax	"説得して〜させる、なだめる、うまく扱う、うまく誘い出す<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">I&nbsp;<a href=""https://ejje.weblio.jp/content/coaxed"">coaxed</a>&nbsp;her into [<a href=""https://ejje.weblio.jp/content/out+of"">out of</a>]&nbsp;<a href=""https://ejje.weblio.jp/content/attending"">attending</a>&nbsp;the meeting.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E7%A7%81%E3%81%AF"">私は</a><a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E5%A5%B3%E3%82%92"">彼女を</a>その<a href=""https://ejje.weblio.jp/content/%E4%BC%9A%E5%90%88%E3%81%AB%E5%87%BA%E5%B8%AD%E3%81%99%E3%82%8B"">会合に出席する</a>[<a href=""https://ejje.weblio.jp/content/%E3%81%97%E3%81%AA%E3%81%84"">しない</a>]<a href=""https://ejje.weblio.jp/content/%E3%82%88%E3%81%86%E3%81%AB"">ように</a><a href=""https://ejje.weblio.jp/content/%E3%81%86%E3%81%BE%E3%81%8F"">うまく</a><a href=""https://ejje.weblio.jp/content/%E8%AA%AC"">説</a>き<a href=""https://ejje.weblio.jp/content/%E4%BC%8F"">伏</a>せた.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">She&nbsp;<a href=""https://ejje.weblio.jp/content/coaxed"">coaxed</a>&nbsp;a&nbsp;<a href=""https://ejje.weblio.jp/content/smile"">smile</a>&nbsp;from her baby.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E5%A5%B3%E3%81%AF"">彼女は</a><a href=""https://ejje.weblio.jp/content/%E8%B5%A4%E3%82%93%E5%9D%8A"">赤ん坊</a>をあやして<a href=""https://ejje.weblio.jp/content/%E7%AC%91"">笑</a>わせた.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">coax&nbsp;<a href=""https://ejje.weblio.jp/content/the+lock"">the lock</a>&nbsp;<a href=""https://ejje.weblio.jp/content/of+a"">of a</a>&nbsp;<a href=""https://ejje.weblio.jp/content/trunk"">trunk</a>&nbsp;(<a href=""https://ejje.weblio.jp/content/open"">open</a>)</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E3%83%88%E3%83%A9%E3%83%B3%E3%82%AF"">トランク</a>の<a href=""https://ejje.weblio.jp/content/%E9%8C%A0"">錠</a>を<a href=""https://ejje.weblio.jp/content/%E4%BD%95%E3%81%A8%E3%81%8B"">何とか</a><a href=""https://ejje.weblio.jp/content/%E3%81%82%E3%81%91%E3%82%8B"">あける</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div>"
tint	"色合い、（薄く）色を付ける<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/autumnal+tints"">autumnal tints</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E7%A7%8B%E8%89%B2"">秋色</a>.</span><br><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">The&nbsp;<a href=""https://ejje.weblio.jp/content/sunset"">sunset</a>&nbsp;<a href=""https://ejje.weblio.jp/content/tinted"">tinted</a>&nbsp;the hills.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%85%A5%E3%82%8A%E6%97%A5"">入り日</a>が<a href=""https://ejje.weblio.jp/content/%E5%B1%B1%E3%80%85"">山々</a>を<a href=""https://ejje.weblio.jp/content/%E6%9F%93%E3%82%81"">染め</a>た.</span><br></div></div>"
excise	"摘出する、切り取る、物品税<div>excisionで削除、切除<br><div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">the&nbsp;excise&nbsp;<a href=""https://ejje.weblio.jp/content/on"">on</a>&nbsp;<a href=""https://ejje.weblio.jp/content/spirits"">spirits</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E9%85%92%E9%A1%9E%E6%B6%88%E8%B2%BB%E7%A8%8E"">酒類消費税</a>.</span><br></div></div></div>"
phosphorus	リン
discrepancy	"相違、食い違い<div><img src=""paste-484ec119e5e9046b6957c2aae356292bed2b62eb.jpg""><br></div>"
haughtiness	"傲慢、高慢<div><div>a&nbsp;<a href=""https://ejje.weblio.jp/content/facial+expression"">facial expression</a>&nbsp;that&nbsp;<a href=""https://ejje.weblio.jp/content/looks"">looks</a>&nbsp;<a href=""https://ejje.weblio.jp/content/of"">of</a>&nbsp;<b>haughtiness&nbsp;</b>いばるような顔つき</div></div><div><div><a href=""https://ejje.weblio.jp/content/of+a"">of a</a>&nbsp;<a href=""https://ejje.weblio.jp/content/person"">person</a>,&nbsp;<a href=""https://ejje.weblio.jp/content/having"">having</a>&nbsp;<a href=""https://ejje.weblio.jp/content/an"">an</a>&nbsp;<a href=""https://ejje.weblio.jp/content/air"">air</a>&nbsp;<a href=""https://ejje.weblio.jp/content/of"">of</a>&nbsp;<b>haughtiness&nbsp;</b>驕り高ぶる心</div></div>"
null	無効な、無意味な
auxiliary	"補助の、予備の、補助者<div>ancillaryが同意で副次的な、付随的な、助手<br><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">auxiliary&nbsp;<a href=""https://ejje.weblio.jp/content/troops"">troops</a>&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">(<a href=""https://ejje.weblio.jp/content/%E5%A4%96%E5%9B%BD"">外国</a><a href=""https://ejje.weblio.jp/content/%E3%81%8B%E3%82%89%E3%81%AE"">からの</a>)<a href=""https://ejje.weblio.jp/content/%E6%8F%B4%E8%BB%8D"">援軍</a>, 援<a href=""https://ejje.weblio.jp/content/%E9%9A%8A"">隊</a></span><br><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/an"">an</a>&nbsp;auxiliary&nbsp;(<a href=""https://ejje.weblio.jp/content/gasoline"">gasoline</a>)&nbsp;<a href=""https://ejje.weblio.jp/content/tank"">tank</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E4%BA%88%E5%82%99%E3%81%AE"">予備の</a>(<a href=""https://ejje.weblio.jp/content/%E3%82%AC%E3%82%BD%E3%83%AA%E3%83%B3"">ガソリン</a>)<a href=""https://ejje.weblio.jp/content/%E3%82%BF%E3%83%B3%E3%82%AF"">タンク</a>.</span><br></div></div></div>"
groove	"（レコードなど硬い表面に付けた）溝、慣例、しきたり<div>決まりきった型と言うイメージ<br><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/get+into"">get into</a>&nbsp;a&nbsp;groove</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E6%B1%BA%E3%81%BE%E3%82%8A%E3%81%8D%E3%81%A3%E3%81%9F"">決まりきった</a><a href=""https://ejje.weblio.jp/content/%E5%9E%8B"">型</a>に<a href=""https://ejje.weblio.jp/content/%E3%81%AF%E3%81%BE%E3%82%8A%E3%81%93%E3%82%80"">はまりこむ</a>.</span><br></div></div>"
fervent	"熱心な、熱烈な、激しい<div>fervencyで熱烈、熱情<br><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;fervent&nbsp;<a href=""https://ejje.weblio.jp/content/supporter+of"">supporter of</a>&nbsp;the&nbsp;<a href=""https://ejje.weblio.jp/content/feminist+movement"">feminist movement</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%A5%B3%E6%A8%A9%E6%8B%A1%E5%BC%B5%E9%81%8B%E5%8B%95"">女権拡張運動</a>の<a href=""https://ejje.weblio.jp/content/%E7%86%B1%E5%BF%83%E3%81%AA%E6%94%AF%E6%8C%81%E8%80%85"">熱心な支持者</a>.</span><br></div></div><div><img src=""paste-82fab7b4c8e2d4f5d913e9e3960028ff7a098e43.jpg""><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div>"
sag	"（重みで真ん中が）沈下する、（ズボンなどが）たるむ、垂れ下がる、衰える<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">The&nbsp;<a href=""https://ejje.weblio.jp/content/shelves"">shelves</a>&nbsp;sag&nbsp;(<a href=""https://ejje.weblio.jp/content/down"">down</a>)&nbsp;<a href=""https://ejje.weblio.jp/content/under+the+weight+of"">under the weight of</a>&nbsp;the books.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E6%A3%9A"">棚</a>が<a href=""https://ejje.weblio.jp/content/%E6%9C%AC%E3%81%AE"">本の</a><a href=""https://ejje.weblio.jp/content/%E9%87%8D%E3%81%BF"">重み</a>でたわんでいる</span><br><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">This&nbsp;<a href=""https://ejje.weblio.jp/content/dress"">dress</a>&nbsp;<a href=""https://ejje.weblio.jp/content/sags"">sags</a>&nbsp;<a href=""https://ejje.weblio.jp/content/in"">in</a>&nbsp;[<a href=""https://ejje.weblio.jp/content/at"">at</a>] the back.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">この<a href=""https://ejje.weblio.jp/content/%E3%83%89%E3%83%AC%E3%82%B9"">ドレス</a>は<a href=""https://ejje.weblio.jp/content/%E8%83%8C%E4%B8%AD"">背中</a>が<a href=""https://ejje.weblio.jp/content/%E3%81%9F%E3%82%8B%E3%82%80"">たるむ</a>.</span><br></div></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">with&nbsp;<a href=""https://ejje.weblio.jp/content/sagging"">sagging</a>&nbsp;<a href=""https://ejje.weblio.jp/content/shoulders"">shoulders</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E8%82%A9"">肩</a>を<a href=""https://ejje.weblio.jp/content/%E8%90%BD%E3%81%A8%E3%81%97"">落とし</a>て.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">His&nbsp;<a href=""https://ejje.weblio.jp/content/spirits"">spirits</a>&nbsp;<a href=""https://ejje.weblio.jp/content/sagged"">sagged</a>&nbsp;when&nbsp;<a href=""https://ejje.weblio.jp/content/he"">he</a>&nbsp;was&nbsp;<a href=""https://ejje.weblio.jp/content/told"">told</a>&nbsp;<a href=""https://ejje.weblio.jp/content/he"">he</a>&nbsp;<a href=""https://ejje.weblio.jp/content/had+to"">had to</a>&nbsp;<a href=""https://ejje.weblio.jp/content/start"">start</a>&nbsp;<a href=""https://ejje.weblio.jp/content/the+work"">the work</a>&nbsp;again.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E4%BB%95%E4%BA%8B"">仕事</a>を<a href=""https://ejje.weblio.jp/content/%E5%86%8D%E3%81%B3"">再び</a><a href=""https://ejje.weblio.jp/content/%E5%A7%8B%E3%82%81"">始め</a><a href=""https://ejje.weblio.jp/content/%E3%81%AA%E3%81%91%E3%82%8C%E3%81%B0%E3%81%AA%E3%82%89%E3%81%AA%E3%81%84"">なければならない</a>と<a href=""https://ejje.weblio.jp/content/%E8%A8%80"">言</a>われて<a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E3%81%AF"">彼は</a><a href=""https://ejje.weblio.jp/content/%E3%81%8C%E3%81%A3%E3%81%8F%E3%82%8A"">がっくり</a>きた.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div>"
laud	賛美、賞賛、賞賛する
unkempt	"（髪が）モジャモジャの、（服装・外見が）だらしない<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">unkempt&nbsp;<a href=""https://ejje.weblio.jp/content/hair"">hair</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E4%B9%B1%E3%82%8C%E9%AB%AA"">乱れ髪</a>.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/one%27s"">one's</a>&nbsp;unkempt&nbsp;<a href=""https://ejje.weblio.jp/content/appearance"">appearance</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E3%81%A0%E3%82%89%E3%81%97%E3%81%AE%E3%81%AA%E3%81%84%E9%A2%A8%E9%87%87"">だらしのない風采</a>(<sub>ふ</sub><sub>うさ</sub><sub>い</sub>)</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div>"
bedraggled	（衣服・髪が引きずって）汚れた
transcend	"（理解や経験の範囲を）越える、勝る<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">The&nbsp;<a href=""https://ejje.weblio.jp/content/grandeur"">grandeur</a>&nbsp;<a href=""https://ejje.weblio.jp/content/of+the"">of the</a>&nbsp;<a href=""https://ejje.weblio.jp/content/Grand+Canyon"">Grand Canyon</a>&nbsp;<a href=""https://ejje.weblio.jp/content/transcends"">transcends</a>&nbsp;description.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E3%82%B0%E3%83%A9%E3%83%B3%E3%83%89%E3%82%AD%E3%83%A3%E3%83%8B%E3%82%AA%E3%83%B3"">グランドキャニオン</a>の<a href=""https://ejje.weblio.jp/content/%E9%9B%84%E5%A4%A7%E3%81%95"">雄大さ</a>は<a href=""https://ejje.weblio.jp/content/%E7%AD%86%E8%88%8C%E3%81%AB%E5%B0%BD%E3%81%8F%E3%81%97%E3%81%8C%E3%81%9F%E3%81%84"">筆舌に尽くしがたい</a>.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">The&nbsp;<a href=""https://ejje.weblio.jp/content/genius+of"">genius of</a>&nbsp;<a href=""https://ejje.weblio.jp/content/Shakespeare"">Shakespeare</a>&nbsp;<a href=""https://ejje.weblio.jp/content/transcends"">transcends</a>&nbsp;<a href=""https://ejje.weblio.jp/content/that+of"">that of</a>&nbsp;<a href=""https://ejje.weblio.jp/content/all+other"">all other</a>&nbsp;<a href=""https://ejje.weblio.jp/content/English"">English</a>&nbsp;poets.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E3%82%B7%E3%82%A7%E3%82%A4%E3%82%AF%E3%82%B9%E3%83%94%E3%82%A2"">シェイクスピア</a>の<a href=""https://ejje.weblio.jp/content/%E6%89%8D%E8%83%BD"">才能</a>は<a href=""https://ejje.weblio.jp/content/%E4%BB%96%E3%81%AE%E3%81%99%E3%81%B9%E3%81%A6%E3%81%AE"">他のすべての</a><a href=""https://ejje.weblio.jp/content/%E8%8B%B1%E5%9B%BD"">英国</a><a href=""https://ejje.weblio.jp/content/%E8%A9%A9%E4%BA%BA"">詩人</a>に<a href=""https://ejje.weblio.jp/content/%E3%81%BE%E3%81%95%E3%82%8B"">まさる</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div>"
indignation	怒り、憤り、義憤
torment	苦痛
attentive	"気を配った、注意深い、大切にする<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">with&nbsp;attentive&nbsp;<a href=""https://ejje.weblio.jp/content/ear"">ear</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E8%AC%B9%E8%81%B4%E3%81%97%E3%81%A6"">謹聴して</a>.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">You&nbsp;<a href=""https://ejje.weblio.jp/content/must+be"">must be</a>&nbsp;more&nbsp;attentive&nbsp;<a href=""https://ejje.weblio.jp/content/to"">to</a>&nbsp;your work.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E3%82%82%E3%81%A3%E3%81%A8"">もっと</a><a href=""https://ejje.weblio.jp/content/%E4%BB%95%E4%BA%8B"">仕事</a>に<a href=""https://ejje.weblio.jp/content/%E7%B4%B0%E3%81%8B%E3%81%84%E6%B3%A8%E6%84%8F"">細かい注意</a>を<a href=""https://ejje.weblio.jp/content/%E6%89%95"">払</a>わ<a href=""https://ejje.weblio.jp/content/%E3%81%AA%E3%81%91%E3%82%8C%E3%81%B0%E3%81%84%E3%81%91%E3%81%AA%E3%81%84"">なければいけない</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/He"">He</a>&nbsp;was&nbsp;<a href=""https://ejje.weblio.jp/content/always"">always</a>&nbsp;attentive&nbsp;<a href=""https://ejje.weblio.jp/content/to"">to</a>&nbsp;his wife.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E3%81%AF"">彼は</a><a href=""https://ejje.weblio.jp/content/%E3%81%84%E3%81%A4%E3%82%82"">いつも</a><a href=""https://ejje.weblio.jp/content/%E5%A6%BB"">妻</a>に<a href=""https://ejje.weblio.jp/content/%E8%A6%AA%E5%88%87%E3%81%AB"">親切に</a>して<a href=""https://ejje.weblio.jp/content/%E3%82%84%E3%81%A3%E3%81%9F"">やった</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/an"">an</a>&nbsp;attentive&nbsp;<a href=""https://ejje.weblio.jp/content/host"">host</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E3%82%88%E3%81%8F%E6%B0%97%E3%81%8C%E3%81%A4%E3%81%8F"">よく気がつく</a><a href=""https://ejje.weblio.jp/content/%E3%83%9B%E3%82%B9%E3%83%88"">ホスト</a>.</span><br></div>"
filmy	"（布などが）非常に薄い、薄膜状の、かすんだ<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">filmy&nbsp;<a href=""https://ejje.weblio.jp/content/ice"">ice</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E8%96%84%E6%B0%B7"">薄氷</a>.</span><br></div><div><div><div><span style=""font-weight: bold;"">filmy&nbsp;<a href=""https://ejje.weblio.jp/content/clouds"">clouds</a></span>&nbsp;<a href=""https://ejje.weblio.jp/content/%E8%96%84%E9%9B%B2"">薄雲</a>.</div></div><div><div><span style=""font-weight: bold;"">filmy&nbsp;<a href=""https://ejje.weblio.jp/content/eyes"">eyes</a></span>&nbsp;<a href=""https://ejje.weblio.jp/content/%E3%81%8B%E3%81%99%E3%81%BF%E7%9B%AE"">かすみ目</a>.</div></div></div>"
physiological	生理学上の
taciturn	無言の、口数の少ない<div>反対語はtalkative</div>
aorta	大動脈
infiltrate	"潜入する、潜入させる、浸透する、染み込む<div>infiltrativeで（形）染み込む、浸透性の</div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">The&nbsp;<a href=""https://ejje.weblio.jp/content/organization"">organization</a>&nbsp;<a href=""https://ejje.weblio.jp/content/is"">is</a>&nbsp;<a href=""https://ejje.weblio.jp/content/infiltrated"">infiltrated</a>&nbsp;<a href=""https://ejje.weblio.jp/content/by"">by</a>&nbsp;communists.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">その<a href=""https://ejje.weblio.jp/content/%E7%B5%84%E7%B9%94"">組織</a>には<a href=""https://ejje.weblio.jp/content/%E5%85%B1%E7%94%A3%E4%B8%BB%E7%BE%A9%E8%80%85"">共産主義者</a>が<a href=""https://ejje.weblio.jp/content/%E5%85%A5%E3%82%8A"">入り</a><a href=""https://ejje.weblio.jp/content/%E8%BE%BC%E3%82%93%E3%81%A7%E3%81%84%E3%82%8B"">込んでいる</a></span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">infiltrate&nbsp;<a href=""https://ejje.weblio.jp/content/a+spy"">a spy</a>&nbsp;into&nbsp;<a href=""https://ejje.weblio.jp/content/the+enemy"">the enemy</a>&nbsp;<a href=""https://ejje.weblio.jp/content/camp"">camp</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E3%82%B9%E3%83%91%E3%82%A4"">スパイ</a>を<a href=""https://ejje.weblio.jp/content/%E6%95%B5%E3%81%AE"">敵の</a><a href=""https://ejje.weblio.jp/content/%E9%87%8E%E5%96%B6%E5%9C%B0"">野営地</a>に<a href=""https://ejje.weblio.jp/content/%E6%BD%9C%E5%85%A5%E3%81%95%E3%81%9B%E3%82%8B"">潜入させる</a>.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/Caves"">Caves</a>&nbsp;<a href=""https://ejje.weblio.jp/content/form"">form</a>&nbsp;when&nbsp;<a href=""https://ejje.weblio.jp/content/water"">water</a>&nbsp;<a href=""https://ejje.weblio.jp/content/infiltrates"">infiltrates</a>&nbsp;limestone.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E6%B0%B4"">水</a>が<a href=""https://ejje.weblio.jp/content/%E7%9F%B3%E7%81%B0%E5%B2%A9"">石灰岩</a><a href=""https://ejje.weblio.jp/content/%E3%81%AB%E6%B5%B8%E9%80%8F%E3%81%99%E3%82%8B"">に浸透する</a>と<a href=""https://ejje.weblio.jp/content/%E6%B4%9E%E7%AA%9F"">洞窟</a>(<sub>ど</sub><sub>うく</sub><sub>つ</sub>)<a href=""https://ejje.weblio.jp/content/%E3%81%8C%E3%81%A7%E3%81%8D%E3%82%8B"">ができる</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div>"
infraction	（法律・規則などの）違反、違反行為
abhor	"（ゾッとするほど）嫌う<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">I&nbsp;abhor&nbsp;violence.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E6%9A%B4%E5%8A%9B"">暴力</a>が<a href=""https://ejje.weblio.jp/content/%E5%A4%A7%E5%AB%8C%E3%81%84%E3%81%A0"">大嫌いだ</a>.</span><br></div>"
